OBJECTID,problem,personSearch,vehicleSearch,preRace,race,gender,policePrecinct
16540,Suspicious Person (P),NO,NO,Native American,Native American,Female,5.0
44342,Suspicious Vehicle (P),YES,NO,Black,Black,Female,3.0
30522,Traffic Law Enforcement (P),NO,NO,White,White,Female,5.0
36817,Traffic Law Enforcement (P),NO,NO,Black,Black,Male,4.0
106022,Suspicious Person (P),NO,NO,Black,Black,Male,3.0
18680,Attempt Pick-Up (P),NO,NO,Black,Black,Male,3.0
20001,Traffic Law Enforcement (P),NO,NO,White,White,Male,2.0
148085,Suspicious Person (P),NO,NO,Black,Black,Male,1.0
30467,Traffic Law Enforcement (P),NO,NO,White,White,Female,2.0
70332,Suspicious Person (P),NO,NO,Black,Black,Male,3.0
2896,Suspicious Person (P),NO,NO,Black,Black,Male,1.0
43525,Suspicious Person (P),NO,NO,Black,Black,Male,4.0
48873,Traffic Law Enforcement (P),NO,NO,White,White,Male,5.0
3981,Suspicious Person (P),YES,NO,Black,Black,Male,1.0
93741,Traffic Law Enforcement (P),NO,NO,White,White,Male,1.0
8025,Attempt Pick-Up (P),YES,NO,Native American,Native American,Male,3.0
40026,Suspicious Person (P),NO,NO,White,White,Female,1.0
49873,Attempt Pick-Up (P),NO,NO,Black,Black,Male,1.0
72955,Suspicious Person (P),NO,NO,Black,Black,Male,1.0
92852,Traffic Law Enforcement (P),YES,YES,Black,Black,Male,4.0
133903,Suspicious Person (P),YES,NO,White,White,Male,1.0
55722,Suspicious Vehicle (P),NO,NO,White,White,Male,4.0
48164,Suspicious Person (P),NO,NO,Black,Black,Male,1.0
83917,Curfew Violations (P),YES,NO,Black,Black,Male,1.0
44586,Attempt Pick-Up (P),NO,NO,Native American,Native American,Male,3.0
16208,Traffic Law Enforcement (P),NO,NO,Black,Black,Male,5.0
117376,Suspicious Person (P),NO,NO,White,White,Male,3.0
140785,Suspicious Person (P),NO,NO,White,White,Male,5.0
32918,Suspicious Vehicle (P),NO,NO,Black,Black,Male,3.0
43635,Traffic Law Enforcement (P),NO,NO,White,White,Male,5.0
130191,Suspicious Person (P),YES,NO,Black,Black,Male,1.0
17810,Attempt Pick-Up (P),NO,NO,Black,Black,Female,1.0
57172,Traffic Law Enforcement (P),NO,NO,White,White,Female,5.0
19114,Traffic Law Enforcement (P),NO,NO,Black,Black,Male,5.0
31367,Suspicious Vehicle (P),NO,NO,White,White,Male,4.0
41864,Traffic Law Enforcement (P),NO,NO,White,White,Male,4.0
105767,Suspicious Person (P),NO,NO,White,White,Male,1.0
136549,Traffic Law Enforcement (P),NO,NO,Black,Black,Male,3.0
96846,Suspicious Person (P),NO,NO,Black,Black,Male,5.0
63325,Suspicious Person (P),NO,NO,White,White,Male,1.0
107257,Suspicious Person (P),YES,YES,Black,Black,Male,4.0
114950,Suspicious Person (P),NO,NO,Black,Black,Male,4.0
29326,Traffic Law Enforcement (P),NO,NO,Black,Black,Male,5.0
63569,Traffic Law Enforcement (P),NO,NO,White,White,Female,2.0
36412,Suspicious Person (P),NO,NO,Other,Other,Female,3.0
13099,Suspicious Person (P),YES,NO,White,White,Male,5.0
39614,Suspicious Person (P),YES,NO,East African,East African,Male,3.0
38454,Suspicious Person (P),NO,NO,White,White,Male,1.0
44388,Suspicious Person (P),NO,NO,Black,Black,Female,4.0
21380,Suspicious Person (P),NO,NO,White,White,Male,1.0
151281,Suspicious Person (P),YES,NO,Black,Black,Male,4.0
57174,Traffic Law Enforcement (P),NO,NO,White,East African,Male,5.0
151136,Suspicious Person (P),YES,NO,Native American,Native American,Male,3.0
36905,Suspicious Vehicle (P),NO,NO,White,White,Female,5.0
57123,Traffic Law Enforcement (P),NO,NO,White,White,Male,5.0
89293,Traffic Law Enforcement (P),NO,NO,White,White,Male,2.0
