OBJECTID,problem,personSearch,vehicleSearch,preRace,race,gender,policePrecinct
99070,Traffic Law Enforcement (P),YES,YES,Black,Black,Male,4.0
69850,Traffic Law Enforcement (P),NO,NO,East African,East African,Female,4.0
70124,Suspicious Person (P),NO,NO,Latino,Latino,Male,1.0
139541,Traffic Law Enforcement (P),YES,YES,Black,Black,Male,2.0
128751,Traffic Law Enforcement (P),NO,NO,Black,Black,Male,4.0
61228,Traffic Law Enforcement (P),NO,NO,White,White,Female,3.0
26465,Suspicious Person (P),NO,NO,Black,Black,Male,1.0
54897,Suspicious Person (P),NO,NO,Black,Black,Male,3.0
86057,Suspicious Person (P),NO,NO,Black,Black,Gender Non-Conforming,4.0
110253,Traffic Law Enforcement (P),NO,NO,Black,Black,Female,2.0
58717,Traffic Law Enforcement (P),NO,NO,Black,Black,Male,2.0
19161,Suspicious Person (P),NO,NO,Black,Black,Male,3.0
52784,Suspicious Person (P),NO,NO,Latino,Latino,Male,4.0
43856,Traffic Law Enforcement (P),NO,NO,White,White,Male,5.0
138193,Suspicious Person (P),NO,NO,Latino,Latino,Male,5.0
66091,Suspicious Vehicle (P),YES,NO,Black,Black,Male,3.0
38152,Traffic Law Enforcement (P),NO,NO,White,White,Female,5.0
59523,Traffic Law Enforcement (P),NO,NO,Black,Black,Male,5.0
137832,Suspicious Person (P),YES,NO,White,White,Female,3.0
102693,Suspicious Person (P),YES,NO,East African,East African,Male,1.0
15612,Suspicious Person (P),NO,NO,Native American,Native American,Male,5.0
3384,Traffic Law Enforcement (P),NO,NO,Asian,Asian,Male,2.0
92928,Traffic Law Enforcement (P),NO,NO,East African,East African,Male,5.0
127838,Suspicious Person (P),NO,NO,Black,Black,Male,5.0
79590,Traffic Law Enforcement (P),NO,NO,White,White,Male,1.0
37482,Traffic Law Enforcement (P),NO,NO,White,White,Female,5.0
2798,Suspicious Person (P),NO,NO,White,White,Male,5.0
149706,Suspicious Person (P),NO,NO,Black,Black,Male,1.0
29886,Suspicious Person (P),NO,NO,Black,White,Male,5.0
26069,Suspicious Person (P),NO,NO,White,White,Female,1.0
102557,Suspicious Person (P),NO,NO,Black,White,Male,3.0
134640,Suspicious Vehicle (P),NO,NO,Black,Black,Male,4.0
80349,Traffic Law Enforcement (P),YES,YES,White,White,Male,2.0
81198,Suspicious Person (P),NO,NO,Native American,Native American,Female,1.0
106687,Suspicious Person (P),NO,NO,White,White,Male,2.0
70192,Traffic Law Enforcement (P),NO,NO,White,White,Male,5.0
148272,Suspicious Person (P),YES,NO,Black,Black,Male,3.0
138514,Suspicious Vehicle (P),NO,NO,White,White,Male,4.0
73086,Traffic Law Enforcement (P),NO,NO,White,White,Male,3.0
31083,Suspicious Person (P),NO,NO,Native American,Native American,Male,3.0
50883,Suspicious Person (P),NO,NO,Black,Black,Male,5.0
97704,Traffic Law Enforcement (P),NO,NO,Black,Black,Male,4.0
132913,Suspicious Vehicle (P),NO,NO,Black,Black,Male,4.0
271,Traffic Law Enforcement (P),NO,NO,White,White,Female,3.0
43923,Traffic Law Enforcement (P),YES,YES,Black,Black,Male,4.0
40518,Attempt Pick-Up (P),YES,NO,Black,Black,Male,4.0
18033,Traffic Law Enforcement (P),NO,NO,White,White,Male,4.0
2389,Suspicious Person (P),NO,NO,Asian,Asian,Male,5.0
47465,Suspicious Person (P),NO,NO,Other,Other,Male,2.0
65037,Suspicious Person (P),YES,NO,Black,Black,Male,2.0
48686,Suspicious Vehicle (P),NO,NO,Black,Black,Male,4.0
120887,Suspicious Person (P),YES,NO,Black,Black,Male,4.0
25876,Suspicious Person (P),NO,NO,White,White,Male,1.0
136580,Traffic Law Enforcement (P),NO,NO,White,White,Female,1.0
134568,Suspicious Vehicle (P),NO,NO,Black,Black,Male,2.0
128063,Suspicious Person (P),NO,NO,White,White,Male,5.0
112700,Suspicious Person (P),NO,NO,White,White,Male,1.0
43059,Suspicious Person (P),YES,NO,Black,Black,Male,4.0
40690,Suspicious Person (P),NO,NO,Black,Black,Male,5.0
9923,Traffic Law Enforcement (P),NO,NO,White,White,Male,5.0
14398,Suspicious Person (P),NO,NO,White,White,Male,5.0
118621,Suspicious Person (P),NO,NO,Black,Black,Male,4.0
142987,Traffic Law Enforcement (P),NO,NO,White,White,Male,1.0
97101,Attempt Pick-Up (P),NO,NO,Black,Black,Male,5.0
59437,Suspicious Vehicle (P),NO,NO,White,White,Female,1.0
141895,Traffic Law Enforcement (P),NO,NO,White,White,Male,2.0
136812,Traffic Law Enforcement (P),NO,NO,Black,Black,Male,2.0
132735,Suspicious Person (P),YES,NO,East African,East African,Male,1.0
109292,Suspicious Person (P),NO,NO,White,White,Male,5.0
145612,Traffic Law Enforcement (P),NO,NO,Black,Black,Male,1.0
72873,Suspicious Person (P),NO,NO,White,White,Male,1.0
30432,Suspicious Vehicle (P),NO,NO,Black,Black,Male,3.0
21435,Traffic Law Enforcement (P),NO,NO,White,White,Male,5.0
104727,Suspicious Vehicle (P),NO,NO,Black,Black,Male,5.0
67971,Suspicious Person (P),YES,NO,Native American,Native American,Female,5.0
28395,Traffic Law Enforcement (P),YES,YES,Black,Black,Male,1.0
37700,Suspicious Person (P),NO,NO,Black,Black,Male,4.0
